"id_job","duration","required_work_experience","job_type","salary_period","salary","position_name","latitude","longitude","applied"
"c6cb28d68516g908dg458bga015gc5ea2b70","PERMANENT","1-2 Years","FULL_TIME","","","Server",40.746208190917969,-73.978103637695312,33
"c7885e9955d9gb375g4a5cgffd8gcbe2a7aa","NONE","1-2 Years","NONE","","","Deli Men",40.671459197998047,-73.958015441894531,33
"d5e47d91974ag9c72g4a9cg79bfgce0a2f5b","","1-2 Years","NONE","","","Home health aide (HHA)",40.741157531738281,-73.606887817382812,33
"4543cc6bc149g9433g4f58gd924g61f845cc","PERMANENT","2-3 Years","FULL_TIME","","","Ticket agent AND ACCOUNTIN",40.712776184082031,-74.005973815917969,33
"796be6d8ef0aga563g4ee8g4588gf8c0ae61","PERMANENT","1-2 Years","FULL_TIME","","","Retail sales associate",40.683658599853516,-73.977584838867188,33
"271238f29f34gae06g45bdga13eg1826379f","PERMANENT","No","PART_TIME","HOUR",11.75,"Line cook",40.6771240234375,-73.441856384277344,33
"8e0aec8382eag910ag4ed8g6273gb2e1a798","PERMANENT","1-2 Years","FULL_TIME","HOUR",14,"Daycare",40.786338806152344,-73.950424194335938,33
"acb2def11c74gb1e0g4cf1g0d74gffe1baae","PERMANENT","1-2 Years","FULL_TIME","MONTH",5000,"Sales associate",40.751983642578125,-73.969779968261719,33
"06382c15a415gb87cg4a6bg799ag84bae46d","PERMANENT","1-2 Years","FULL_TIME","","","Health care specialist",40.744991302490234,-73.934150695800781,32
"553a8ce5356cg82cfg46fdg12e9g49cf184c","PERMANENT","No","FULL_TIME","","","Electrician",40.6425895690918,-73.985115051269531,32
"554346601344g95f4g4812g0a81g0d7b4cf3","PERMANENT","+3 Years","FULL_TIME","","","Chef & cook",40.775203704833984,-73.9539794921875,32
"62b1d5514953g847ag4f3ag637eg7eb272a5","PERMANENT","1-2 Years","FULL_TIME","","","Cashier",40.646022796630859,-73.896438598632812,32
"7bc075c0c35cgae48g4161g2f2cg0df0a9f9","PERMANENT","1-2 Years","FULL_TIME","","","Medical assistant",40.678176879882812,-73.944160461425781,32
"a0294fe6409dga7f0g4066ga5d9g4e890af0","PERMANENT","No","FULL_TIME","","","Sales agent",40.73565673828125,-74.17236328125,32
"a56c8e207f1cga9fbg46a1ga871g6952e152","PERMANENT","1-2 Years","FULL_TIME","","","Human resources administrator",40.70037841796875,-73.592903137207031,32
"b11bf960c5cbg8c21g4236g7c42g62d839d1","","No","NONE","","","Cook",40.740493774414062,-73.9879379272461,32
"b3e99ef5a1edgbd36g445egea3ag35fa7d07","NONE","1-2 Years","NONE","","","Dishwasher",40.678176879882812,-73.944160461425781,32
"b845c573d097ga0c3g451cg739agafcc80ea","PERMANENT","No","FULL_TIME","","","Truck driver - Class A",40.789546966552734,-74.056526184082031,32
"db8179cb56feg9260g4b04g5f69g7e2dc905","PERMANENT","No","PART_TIME","","","Busser",40.829189300537109,-74.100181579589844,32
"2d1cd1fe864cg976eg4283g3929ga830ccb4","PERMANENT","No","FULL_TIME","","","Sales representative",40.712776184082031,-74.005973815917969,32
"8c82c5aa9102gaa6ag480eg4f0cg094bb21b","PERMANENT","1-2 Years","FULL_TIME","","","Mainfriam programer",40.7573356628418,-73.9715347290039,32
"efdf3617f629gb0c3g4a22gdf14g66db882e","PERMANENT","2-3 Years","FULL_TIME","","","Assistant & Secretary",40.810844421386719,-73.964027404785156,32
"34d3613c6191gb477g4503geaf5ga77a1821","PERMANENT","1-2 Years","FULL_TIME","","","Stock person",40.656158447265625,-74.013175964355469,32
"3872a32c9afcg840eg4640ga418g7f869517","TEMPORAL","1-2 Years","PART_TIME","HOUR",20,"Graphic Arts, Graphics Designer",40.764965057373047,-73.97808837890625,32
"461ec24a207agb17bg4a58g3040gb706f845","PERMANENT","No","FULL_TIME","HOUR",15,"Delivery driver",40.672412872314453,-73.899375915527344,32
"d58c2e62d20fga972g4155g9380g0a273a81","PERMANENT","2-3 Years","FULL_TIME","HOUR",18,"Concierge",40.768695831298828,-73.9918212890625,32
"5784030c6899g80e8g433egfa4cg2de9a595","PERMANENT","1-2 Years","FULL_TIME","","","Stock associate",40.977138519287109,-73.8292465209961,31
"661414b12b61g9f3ag45d3g0d18gb7e920be","PERMANENT","2-3 Years","FULL_TIME","","","Line cook",40.762176513671875,-73.972862243652344,31
"8aed2ff4facdgbb0eg4f68g4122g36018127","PERMANENT","1-2 Years","FULL_TIME","","","Military police",40.744991302490234,-73.934150695800781,31
"918e0e4afb77gbd27g4561g4a5egb118cc28","PERMANENT","1-2 Years","PART_TIME","","","Sales associate",40.754215240478516,-73.5014877319336,31
"c8d5a65122a6g9feeg4f2cg4d77g4a103a96","PERMANENT","1-2 Years","PART_TIME","","","Bookkeeper",40.762847900390625,-73.9771957397461,31
"d173d55e5a0egb796g4bc1g8c4dg2d1887d9","PERMANENT","No","FULL_TIME","","","Kitchen Cleaner",40.695964813232422,-73.84710693359375,31
"d355cca09ab6gb124g4133gcf33g7f31e2c8","","No","FULL_TIME","","","Electrician",40.689228057861328,-73.983589172363281,31
"f4fc4eab2248gace5g427fgfdc1g52abf193","PERMANENT","No","PART_TIME","","","Waitress",40.767498016357422,-73.833076477050781,31
"ffa189cc2f0egbf1fg49c5gd564g079221c3","PERMANENT","1-2 Years","FULL_TIME","","","Keyholder",40.774444580078125,-73.98187255859375,31
"1e35b44b8909g8793g4d29g29degac7c64a0","PERMANENT","1-2 Years","FULL_TIME","","","Front desk",40.668704986572266,-73.915634155273438,31
"5ffe6dc795e8g9719g42f1g61ddg14959a36","PERMANENT","+3 Years","FULL_TIME","","","Bookkeeper",40.734642028808594,-73.991058349609375,31
"6695db895825gaa60g4af2gc1fcg6ff727cf","PERMANENT","1-2 Years","FULL_TIME","","","Warehouse associate",40.627639770507812,-73.976425170898438,31
